,accession_number,statement_name,statement_link
66,000104581023000175,segment information - schedule of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/R67.htm
67,000104581023000175,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/R68.htm
68,000104581023000175,segment information - revenue (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/R69.htm
69,000104581023000175,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/R70.htm
70,000104581023000175,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000175/R71.htm
21,000104581023000227,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/R22.htm
35,000104581023000227,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/R36.htm
66,000104581023000227,segment information - schedule of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/R67.htm
67,000104581023000227,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/R68.htm
68,000104581023000227,segment information - revenue (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/R69.htm
69,000104581023000227,segment information - concentration risk (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/R70.htm
70,000104581023000227,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581023000227/R71.htm
25,000104581024000029,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/R26.htm
41,000104581024000029,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/R42.htm
83,000104581024000029,segment information - narrative (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/R84.htm
84,000104581024000029,segment information - reportable segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/R85.htm
85,000104581024000029,segment information - reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/R86.htm
86,000104581024000029,segment information - revenue and long-lived assets by region (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/R87.htm
87,000104581024000029,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000029/R88.htm
20,000104581024000124,segment information,https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/R21.htm
35,000104581024000124,segment information (tables),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/R36.htm
68,000104581024000124,segment information - narrative (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/R69.htm
69,000104581024000124,segment information - schedule of segments (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/R70.htm
70,000104581024000124,segment information - schedule of reconciling items (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/R71.htm
71,000104581024000124,segment information - schedule of revenue by geographic regions (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/R72.htm
72,000104581024000124,segment information - schedule of revenue by market (details),https://www.sec.gov/Archives/edgar/data/0001045810/000104581024000124/R73.htm
